title,author,genre,sex,view,recommandation_count,total_serial_num,preferred_age
무신행은기,안달우,무협,남자,46991,61,21 ,30
홍염의슐테라,이동만,판타지,남자,75548,46,44 ,30
요괴연애기담,레노리노,판타지,남자,18936,62,11 ,20
마황혁천세,겨루,무협,남자,2814716,20900,175 ,50
남가지몽,네크로드,판타지,남자,1265125,3081,83 ,30
21C장수설화,큰끝,현대판타지,남자,1923294,7183,202 ,30
월명의여제,천현비화,판타지,남자,409,0,4 ,30
문하트,심해의고독,퓨전,남자,55081,318,50 ,40
마도공자,전기수,무협,남자,312701,747,4 ,40
어크로스,양병현,판타지,남자,117375,12,6 ,40
해피홀리데이,감글동그림,퓨전,남자,4022,18,5 ,40
H.E.R.O,올빼미혁명,현대판타지 판타지,남자,29413,61,1 ,40
마법사의전장,月影(월영),판타지,남자,161487,3744,4 ,30
강호초출,연소옥,무협,남자,2400673,26517,100 ,50
흡혈왕,쥬논,판타지,남자,75214,117,24 ,40
삼국지가아냐,광천광야,일반소설,남자,17880,9,9 ,30
화랑inAcademy,토돌,판타지,남자,951510,5554,149 ,20
은빛어비스,카이첼,판타지,남자,83511,1320,1029 ,30
9중대행보관(종료171207),몽몽객,퓨전 판타지,남자,900052,3635,28 ,40
드래곤티아라,키뮤린,판타지,남자,14710,89,51 ,10
학사무림,봉황송,무협,남자,257141,706,7 ,50
마공포식자,천보행자,무협,남자,2275,7,3 ,10
라드니아전기,테시우스,판타지,남자,2300,3,7 ,30
무한쟁패,키리샤,무협,남자,28207,123,0 ,20
DevilSonata,키뮤린,판타지,남자,4424,17,17 ,20
마공천사,열해도,무협,남자,20140,6,5 ,50
비갓비갓,씨드,게임,남자,15546,82,73 ,30
칠야의연주자,현성(玹成),게임,남자,176873,12,10 ,20
붉은달,깜장양송이,판타지,남자,125262,10,69 ,50
천마검제,여사혼,무협,남자,590877,2120,0 ,10
친구의이름으로,사적이다,현대판타지,남자,10505,62,14 ,50
마법사무림기행,김도리,무협,남자,24845,35,19 ,50
바이오너,시크릿가이,현대판타지,남자,0,0,0 ,40
진악,경절,판타지,남자,1320,2,0 ,20
마음을만지다,푸른나래,로맨스,남자,23415,223,115 ,30
Persona,질풍의날개,판타지 현대판타지,남자,10595,33,27 ,20
SP,CatReadi..,현대판타지,남자,379518,1481,63 ,40
더크루세이더,페리도스,판타지,남자,169185,456,8 ,20
패왕을보았다,마혼,판타지,남자,36340,666,5 ,30
신들의제자들,유화성,판타지,남자,3964,6,31 ,30
위사무적,협행마,무협,남자,687305,2375,17 ,50
지존귀환,요도,무협,남자,896096,385,52 ,50
다크엠페러,실버쉐도우,게임,남자,16005,602,11 ,20
심장튼튼한놈,몽계.,현대판타지,남자,326732,877,2 ,30
자명,김윤성,무협,남자,63528,145,5 ,50
주식회사초인,무의식,라이트노벨,남자,27967,11,40 ,50
바질리스크,여령,게임,남자,4399,11,1 ,20
데몬스피어,검은검,판타지,남자,13953,21,27 ,30
하지마!요네즈.,르웨느,판타지,남자,782713,5786,459 ,20
동방기행담,토황소격문,무협 대체역사,남자,78850,473,58 ,50
눈녹는봄이오면,Clari,판타지,남자,9794,77,63 ,30
화산풍운전,르네장,무협,남자,2310,6,0 ,50
후생기,가글,판타지 무협,남자,5471186,50645,263 ,30
강호풍운록,이산,무협,남자,57434,351,23 ,50
절대검해,한성수,무협,남자,233922,458,12 ,50
남극빙협,도깹,무협,남자,70248,179,31 ,50
사육사,견가도묘,게임,남자,40837,168,31 ,10
종말3부작,RALL,SF 일반소설,남자,21263,77,31 ,30
구룡지로,연소옥,무협,남자,848506,7180,133 ,50
알칸귀환기,반백이발사,퓨전,남자,143883,421,5 ,30
영주의금기,협행마,판타지,남자,464446,1622,16 ,40
신이내린무당,windligh..,게임,남자,60524,298,47 ,20
Fantasia2085,요삼,판타지 현대판타지,남자,1210231,7463,53 ,40
세컨드라이프,작은풀잎,일반소설,남자,352212,2315,48 ,50
마스커레이드,샤랑,판타지,남자,14954,3,35 ,30
미친자들,슬픔의숲속,현대판타지,남자,23076,14,13 ,30
헬오브엠페러,김중완,퓨전,남자,7030,14,8 ,10
신의타이밍,사람123,일반소설,남자,26995,154,52 ,40
선범도,mingji,무협 판타지,남자,1063303,11873,0 ,40
버킨[E],라이먼,게임,남자,909,21,15 ,40
홍원,신가,무협,남자,4081728,86631,261 ,30
아카이얀의전사,홍형(洪瑩),판타지,남자,163306,49,34 ,30
네오크루세이더,갈색미소,일반소설,남자,2068,1,3 ,30
검술의기초,써드,판타지,남자,40101,147,40 ,50
Ability,린트,판타지,남자,3580,6,31 ,30
기사에델레드,레프라인,판타지,남자,918819,9491,118 ,20
비룡천검,이산,무협,남자,636291,2141,54 ,50
천지수호문,0련아0,무협,남자,27041,198,38 ,50
레드데빌,송담(松潭),퓨전,남자,16165,82,6 ,40
샤우트마스터,목령,판타지,남자,16449,2,1 ,30
광독남아,이강(二强),무협,같음,1,0,0 ,10
마법세가,무륜(茂侖),퓨전,남자,31940,151,18 ,50
이계과학자,그루,퓨전,남자,9874,73,8 ,10
암흑의대마법사,페리도스,판타지,남자,354916,218,7 ,10
영웅마왕악당,무영자,판타지,남자,58241,62,8 ,20
춤추는히네아꽃,버터베어,판타지,남자,17473,263,62 ,20
Assault,제이v,게임,남자,131993,624,96 ,40
열아홉아버지,디딤돌n,로맨스,남자,69532,189,28 ,50
피어나다,말살,라이트노벨 현대판타지,남자,6136,14,33 ,30
야차왕,가나,퓨전,남자,467614,66,14 ,20
모자이크,망각의글,SF,남자,10341,41,12 ,50
가디스가드,까리타암초,판타지,남자,127964,5,1 ,30
마륜사켈마로,일소만복,퓨전,남자,58907,53,19 ,30
몬스터죽이기,과니,현대판타지,남자,27051,682,15 ,40
르네상스,인할라,판타지,남자,23739,314,52 ,40
인연살해,구선달,판타지,남자,326454,7988,95 ,20
적룡무강,美公,무협,남자,751749,2098,0 ,40
가이아개발기,최가네,퓨전,남자,79587,207,9 ,40
망상공자,카레왕,무협,남자,2611,8,3 ,30
마왕보의후인,구란,무협,남자,269507,1415,131 ,50
악당의영지,가휼,판타지 퓨전,남자,5676,24,1 ,20
초능력주식회사,최항기,일반소설,남자,72279,488,65 ,50
풍운사일,박선우,무협,남자,950594,11988,192 ,50
무적문주,[눈매],무협,남자,164319,320,7 ,50
심안의제왕,청하(淸河),퓨전,남자,573498,2229,10 ,40
견왕지로,묵호(墨湖),무협,남자,1698511,114,128 ,50
암천제,장담(張譚),무협,남자,371077,61,8 ,50
코크마스터,캣츠아이,판타지,남자,11983,7,4 ,20
Halfway,Drexel,현대판타지 공포·미스테리,남자,1943,14,17 ,20
몰락무당(출간삭제),성불예정,무협 드라마,남자,48051,1542,3 ,30
ARENA,권순형,게임,남자,11599,169,24 ,50
루베니스,서광,판타지,남자,35489,35,41 ,50
이게간지다,김기범,게임,같음,674,0,0 ,10
하나뿐인너에게,푸른나래,로맨스,여자,12726,184,62 ,50
낭인무사,묵검默劍,무협,남자,19146,33,1 ,30
해연국이야기,하얀소금,퓨전,남자,174463,2405,42 ,30
패천혈류검,월적란,무협,남자,254252,729,57 ,50
그랑크뤼,신가,현대판타지 퓨전,남자,6626,31,4 ,50
투신록,흙마왕,판타지,남자,50611,67,25 ,40
신장의검심,Mr.Song.,판타지,남자,6959,28,6 ,20
구룡천하,도검,무협,남자,202842,38,11 ,50
문명격돌,워리도꾸,SF 판타지,남자,198774,2222,74 ,40
소림항마승,북미혼,무협,남자,83536,200,2 ,50
춤추는세계,두드리자,퓨전,남자,24196,207,68 ,30
레니샤드,부성,퓨전,남자,409206,1238,145 ,30
똑바로살아라,일월광천,현대판타지,남자,138593,378,10 ,20
인류의적히어로,사신의연주,퓨전,남자,220691,2979,124 ,20
언터쳐블,발도,현대판타지,남자,177165,362,6 ,40
L.라그나뢰크,마스MaS,퓨전,남자,35292,229,42 ,30
마제이계강림기,박새날,퓨전,남자,87529,212,7 ,10
행복을원하십니까?,휘환,판타지,남자,11291,100,44 ,30
신기루를찍다,이카루이엘,로맨스,남자,4184,33,27 ,30
황금영주,휘선(輝敾),퓨전,남자,677690,3002,25 ,50
검황무적,해와별,퓨전,남자,92123,447,31 ,40
물을나르는용,캐모마일,판타지,여자,36265,416,37 ,30
공작아들,박새날,판타지,남자,284148,100,9 ,10
마제뇌우,문용신,무협,남자,101168,21,9 ,30
야수왕,화풍객,무협,남자,383681,1832,28 ,50
황제의탄생,Zvezda,판타지,남자,51510,322,51 ,50
빙마전설,요도,무협,남자,425695,105,17 ,10
HerooftheDay,페이트노트,판타지 라이트노벨,남자,2525551,17418,130 ,20
환우제일인,김중완,무협,남자,372581,1438,32 ,50
펜타곤,카마릴라,현대판타지,남자,115504,4548,84 ,40
라이프스타일,김기범,게임,남자,6489,123,5 ,20
재삼재검왕,비룡독마제,무협,남자,50178,166,16 ,50
투신쟁패,초혼(草魂),무협,남자,992973,7892,53 ,50
거미상자,반성,게임,남자,22261,536,57 ,30
어겐스트,네페쉬,판타지,남자,19632,364,25 ,20
트루온라인,현의顯懿,게임,남자,99162,743,36 ,10
자해,두릅,현대판타지,남자,1336,41,2 ,10
심검지,김대산,무협,남자,123951,543,11 ,50
고금제일인,담현,무협,남자,162660,311,5 ,30
서브라임,카이첼,판타지,남자,1227103,2108,118 ,20
루인영지,총관,판타지,남자,37600,11,1 ,40
크림슨썬더,이그니시스,판타지,남자,76408,401,0 ,20
테라오딧세이,.프리스트.,퓨전,남자,1329141,8694,33 ,30
학사무신록,휘(煇),무협,남자,864102,33707,33 ,40
월백,담하(澹霞),무협,남자,725825,362,20 ,50
절대영웅검,행호사,무협,남자,2099790,12327,250 ,50
천검제,장담(張譚),무협,남자,51164,119,4 ,50
청운적하검[E],묘재(妙才),무협,남자,9686,166,21 ,50
마나의여신,이디네,판타지,남자,12548,140,31 ,10
네크로맨서의소환수,규(奎),게임,남자,928,17,4 ,10
서울아레스,진필명,현대판타지,남자,867830,3897,2 ,50
신의영역,단보리,퓨전,같음,8692,22,0 ,10
냉혈자,조철봉,무협,남자,174382,1338,26 ,50
리보션,보스캣,판타지,남자,4092,55,15 ,30
불사의괴,황대산,무협,남자,65821,140,4 ,40
점창파,33333,무협,남자,1953370,7400,147 ,50
SOB,유호식,공포·미스테리 일반소설,남자,846,11,1 ,30
백화,망치손,무협,남자,132291,1183,65 ,50
천부구문진해,사자비,무협,남자,130064,1747,30 ,50
Realworld,환상인물,게임,남자,254511,2400,113 ,40
보호자,재림사심,판타지,남자,0,0,0 ,30
탐주관동,배반낭자,무협,남자,258923,2160,83 ,50
사도마존,설광백,무협,남자,198114,107,11 ,50
몬스터백과사전,포세트롤,판타지,남자,893222,38945,636 ,30
기억의주인,o예인o,퓨전,남자,842421,3425,39 ,40
붉은못,형향馨香,판타지 퓨전,남자,145964,3798,89 ,20
일엽편주는나는듯이남으...,모루우,대체역사,남자,31592,527,42 ,50
덕범전,큰끝,판타지,남자,474539,3021,160 ,30
여자로변하다,리스타,판타지,남자,89201,577,38 ,10
명월광상곡,슬라빅,라이트노벨,남자,11973,154,13 ,20
더스톰,금산(金山),판타지,남자,70674,35,8 ,50
트라이엄프,유호,현대판타지,남자,56271,171,3 ,40
무영마종,이영,무협,남자,954780,5278,31 ,50
레이니도닝,하밀,게임,남자,80292,209,39 ,20
소천마전기,핑크팬더,무협,남자,47043,187,10 ,40
윈드나이츠,로드리안,판타지,남자,146487,225,68 ,50
옥룡기담,기원,무협,남자,189850,905,34 ,50
몽상가,김대산,퓨전,같음,7541,7,0 ,10
그해겨울환상을쫓는...,Tica,현대판타지 판타지,남자,60405,1131,140 ,20
인간VS전쟁,베어글라스,일반소설,남자,3199,3,10 ,30
삼국지함분축원,기억하나,일반소설,남자,1128454,7967,110 ,30
황혼의기사,효시(嚆矢),판타지,남자,21996,86,12 ,30
청세빛,광천광야,판타지,남자,63204,160,49 ,30
빛의균형자,빛의균형자,판타지,남자,170715,2204,334 ,20
발키리의기사,제르니오,판타지 SF,남자,302652,3521,330 ,20
마담티아라,Minato,판타지 드라마,남자,1441749,10566,12 ,20
디아만트스펠,유세영,판타지,남자,189501,672,6 ,20
